,h,lam,tol,ite_f,ite_r,time_f,time_r,nm_f,nm_r,res_f,res_r,err_f,err_r,err_comp
1,64.0,0.01,1e-06,3.0,4.0,0.9344689846038818,0.2771089076995849,0.0714748627095737,0.0714748590441585,0.0142164372120301,0.0142164373850466,0.4417275274452262,0.4417257667020926,5.523394070939362e-06
2,128.0,0.01,1e-06,3.0,4.0,8.083383083343506,1.8268070220947263,0.0594521722527258,0.0594521694703813,0.0118279551806694,0.0118279553121847,0.4089048290673031,0.4089035952065702,4.3274435087984905e-06
3,256.0,0.01,1e-06,3.0,4.0,97.9731776714325,19.078418731689453,0.0526389389755621,0.0526389362061047,0.010480243970332,0.0104802440997718,0.3892474267748828,0.389246105217666,4.393543427003762e-06
4,32.0,0.01,1e-07,3.0,4.0,0.1418778896331787,0.0610349178314209,0.0807439286290073,0.0807439247508227,0.0160577168523535,0.0160577170353525,0.4598927382376376,0.4598907011165825,6.065630635087262e-06
5,64.0,0.01,1e-07,3.0,4.0,0.9500632286071776,0.2843899726867676,0.0714748627095738,0.0714748590441581,0.0142164372120301,0.0142164373850467,0.4417275274452262,0.4417257667020928,5.523394070929675e-06
6,128.0,0.01,1e-07,3.0,4.0,7.80774712562561,1.8090848922729488,0.0594521722527257,0.0594521694703809,0.0118279551806694,0.0118279553121848,0.4089048290673031,0.4089035952065705,4.327443508685385e-06
7,256.0,0.01,1e-07,3.0,4.0,97.33628177642822,18.244704008102417,0.052638938975562,0.0526389362061054,0.010480243970332,0.0104802440997717,0.3892474267748828,0.3892461052176655,4.393543427089008e-06
8,32.0,0.01,1e-08,4.0,5.0,0.1852099895477295,0.074610948562622,0.08074392086412,0.0807439248042374,0.0160577172307818,0.0160577170326665,0.4598907269245642,0.459890696469115,1.5803510636305678e-07
9,64.0,0.01,1e-08,4.0,5.0,1.2679529190063477,0.3122737407684326,0.0714748556139226,0.0714748590878364,0.0142164375574988,0.0142164373828505,0.4417257889421989,0.4417257614096303,1.3972544901521057e-07
10,128.0,0.01,1e-08,4.0,5.0,10.328558921813965,1.9725921154022217,0.0594521671681015,0.0594521694975429,0.0118279554279022,0.0118279553108193,0.4089036108295397,0.4089035902118482,1.0325227283505045e-07
11,256.0,0.01,1e-08,4.0,5.0,129.00924491882324,18.82519173622132,0.0526389331732884,0.0526389362330576,0.0104802442520939,0.0104802440984178,0.3892461214544876,0.3892461003903506,1.1515969525710025e-07
12,32.0,0.01,1e-09,4.0,5.0,0.1836359500885009,0.0731501579284668,0.08074392086412,0.0807439248042373,0.0160577172307818,0.0160577170326665,0.4598907269245642,0.4598906964691151,1.580351063500195e-07
13,64.0,0.01,1e-09,4.0,5.0,1.2397840023040771,0.3254580497741699,0.0714748556139226,0.0714748590878367,0.0142164375574988,0.0142164373828505,0.4417257889421988,0.4417257614096301,1.397254490164012e-07
14,128.0,0.01,1e-09,4.0,5.0,10.294192790985107,1.989208698272705,0.0594521671681014,0.059452169497543,0.0118279554279022,0.0118279553108193,0.4089036108295398,0.4089035902118482,1.032522727528873e-07
15,256.0,0.01,1e-09,4.0,5.0,129.03582525253296,18.519959211349487,0.0526389331732886,0.0526389362330578,0.0104802442520939,0.0104802440984178,0.3892461214544875,0.3892461003903505,1.1515969527913245e-07
16,32.0,0.01,1e-10,5.0,6.0,0.2314028739929199,0.0827977657318115,0.0807439208644537,0.0807439247912286,0.0160577172307649,0.0160577170333206,0.4598907223139203,0.4598906964620086,1.5717164345651976e-07
17,64.0,0.01,1e-10,5.0,6.0,1.5501182079315186,0.3435549736022949,0.0714748556143215,0.0714748590771665,0.0142164375574786,0.0142164373833869,0.441725783677018,0.4417257613990156,1.3868490897325733e-07
18,128.0,0.01,1e-10,5.0,6.0,12.700518131256104,2.103931903839112,0.0594521671684718,0.059452169490896,0.0118279554278834,0.0118279553111534,0.408903605849265,0.4089035901990511,1.0213141359495384e-07
19,256.0,0.01,1e-10,5.0,6.0,161.6216549873352,19.08652186393737,0.0526389331736554,0.052638936226476,0.0104802442520754,0.0104802440987484,0.3892461166412865,0.389246100378231,1.142675825359554e-07
20,32.0,0.001,1e-06,4.0,5.0,0.1840620040893554,0.0751409530639648,0.2851555376893026,0.285155816493786,0.0058848028492493,0.0058847891717,0.345356743450848,0.3453411257545918,4.314569090506675e-05
21,64.0,0.001,1e-06,4.0,5.0,1.235840082168579,0.3103141784667969,0.2522804035506858,0.2522806550344984,0.005231222111794,0.0052312097837204,0.3498308652799769,0.3498142469380174,4.435533638050076e-05
22,128.0,0.001,1e-06,4.0,5.0,10.249675035476685,1.9613220691680908,0.2097954289242863,0.2097956087778917,0.0043641526246771,0.00436414378765,0.3415999109331814,0.3415851810145155,3.953878537623178e-05
23,256.0,0.001,1e-06,4.0,5.0,127.51601791381836,18.869612216949463,0.18580704743054,0.1858072573774345,0.003880503548407,0.0038804933052978,0.3341907946878037,0.3341769550337599,3.733177207784823e-05
24,32.0,0.001,1e-07,4.0,5.0,0.1837871074676513,0.0730800628662109,0.2851555376893023,0.2851558164937863,0.0058848028492493,0.0058847891717,0.3453567434508481,0.3453411257545917,4.314569090507048e-05
25,64.0,0.001,1e-07,4.0,5.0,1.2644431591033936,0.314769983291626,0.2522804035506853,0.2522806550344981,0.005231222111794,0.0052312097837204,0.3498308652799772,0.3498142469380174,4.435533638058097e-05
26,128.0,0.001,1e-07,4.0,5.0,10.189658164978027,1.961926937103272,0.209795428924286,0.2097956087778913,0.0043641526246771,0.0043641437876501,0.3415999109331813,0.3415851810145156,3.953878537608181e-05
27,256.0,0.001,1e-07,4.0,5.0,127.72674107551576,18.62379288673401,0.1858070474305395,0.1858072573774366,0.003880503548407,0.0038804933052978,0.3341907946878036,0.3341769550337596,3.7331772077940046e-05
28,32.0,0.001,1e-08,5.0,6.0,0.228140115737915,0.0829761028289794,0.285155555015242,0.2851555806534858,0.0058848018400473,0.0058848005995622,0.3453420894877685,0.3453407444101647,4.320787372700844e-06
